,GAME_ID,INN_CT,BAT_HOME_ID,OUTS_CT,AWAY_SCORE,HOME_SCORE,BATTER_ID,BAT_LINEUP_ID,BAT_FLD_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,PIT_ID,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,RUN1_RESP_PIT_ID,BASE2_RUN_ID,RUN2_RESP_PIT_ID,BASE3_RUN_ID,RUN3_RESP_PIT_ID,LEADOFF_FL,EVENT_CD,BAT_EVENT_FL,EVENT_OUTS_CT,SB_FL,CS_FL,PK_FL,EVENT_ID,BALLS_CT,STRIKES_CT,PITCH_SEQ,RBI,H_FL,AB_FL,SH_FL,SF_FL,BUNT_FL
0,4926882,1,0,0,0,0,1992989,1,4,1,,,,1881575,2140820,1881574,2335458,1996367,1996371,1996386,2136214,2136194,,,,,,,1,14,1,0,0,0,0,0,3,1,BBKBB,0.0,0.0,0.0,0.0,0.0,0.0
1,4926882,1,0,0,0,0,2119795,2,7,0,2,,,1881575,2140820,1881574,2335458,1996367,1996371,1996386,2136214,2136194,1992989,1881575,,,,,0,2,1,1,0,0,0,1,0,0,,0.0,0.0,1.0,1.0,0.0,1.0
2,4926882,1,0,1,0,0,1992964,3,2,1,,,,1881575,2140820,1881574,2335458,1996367,1996371,1996386,2136214,2136194,,,1992989,1881575,,,0,20,1,0,0,0,0,2,1,1,BK,0.0,1.0,1.0,0.0,0.0,0.0
3,4926882,1,0,1,1,0,1862923,4,10,1,3,4,,1881575,2140820,1881574,2335458,1996367,1996371,1996386,2136214,2136194,1992964,1881575,1992989,1881575,,,0,20,1,0,0,0,0,3,3,1,BBFB,1.0,1.0,1.0,0.0,0.0,0.0
4,4926882,1,0,1,2,0,2119804,5,3,0,0,,4,1881575,2140820,1881574,2335458,1996367,1996371,1996386,2136214,2136194,1862923,1881575,,,1992964,1881575,0,3,1,2,0,0,0,4,1,2,KSBS,0.0,0.0,1.0,0.0,0.0,0.0
5,4926882,1,1,0,2,0,2136214,1,8,0,,,,1992940,1992964,2119804,1992989,2119792,2119796,2119795,2119791,2119810,,,,,,,1,2,1,1,0,0,0,5,3,2,SFBFBB,0.0,0.0,1.0,0.0,0.0,0.0
6,4926882,1,1,1,2,0,1881574,2,3,0,,,,1992940,1992964,2119804,1992989,2119792,2119796,2119795,2119791,2119810,,,,,,,0,2,1,1,0,0,0,6,2,2,BSBF,0.0,0.0,1.0,0.0,0.0,0.0
7,4926882,1,1,2,2,0,1996367,3,5,0,,,,1992940,1992964,2119804,1992989,2119792,2119796,2119795,2119791,2119810,,,,,,,0,2,1,1,0,0,0,7,0,0,,0.0,0.0,1.0,0.0,0.0,0.0
8,4926882,2,0,0,2,0,2119792,6,5,0,,,,1881575,2140820,1881574,2335458,1996367,1996371,1996386,2136214,2136194,,,,,,,1,3,1,1,0,0,0,8,2,2,FKFBFFFFBK,0.0,0.0,1.0,0.0,0.0,0.0
9,4926882,2,0,1,2,0,2119810,7,9,1,,,,1881575,2140820,1881574,2335458,1996367,1996371,1996386,2136214,2136194,,,,,,,0,20,1,0,0,0,0,9,0,0,,0.0,1.0,1.0,0.0,0.0,0.0
10,4926882,2,0,1,2,0,2119796,8,6,0,,,,1881575,2140820,1881574,2335458,1996367,1996371,1996386,2136214,2136194,2119810,1881575,,,,,0,2,1,1,0,0,0,10,0,1,K,0.0,0.0,1.0,0.0,0.0,0.0
