,GAME_ID,INN_CT,BAT_HOME_ID,OUTS_CT,AWAY_SCORE,HOME_SCORE,BATTER_ID,BAT_LINEUP_ID,BAT_FLD_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,PIT_ID,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,RUN1_RESP_PIT_ID,BASE2_RUN_ID,RUN2_RESP_PIT_ID,BASE3_RUN_ID,RUN3_RESP_PIT_ID,LEADOFF_FL,EVENT_CD,BAT_EVENT_FL,EVENT_OUTS_CT,SB_FL,CS_FL,PK_FL,EVENT_ID,BALLS_CT,STRIKES_CT,PITCH_SEQ,RBI,H_FL,AB_FL,SH_FL,SF_FL,BUNT_FL
0,4932039,1,0,0,0,0,1889447,1,6,0,,,,1984380,2120202,1864124,1984378,1864126,1866014,2120179,1864125,2306905,,,,,,,1,2,1,1,0,0,0,0,3,1,BBBK,0.0,0.0,1.0,0.0,0.0,0.0
1,4932039,1,0,1,0,0,1998648,2,4,1,,,,1984380,2120202,1864124,1984378,1864126,1866014,2120179,1864125,2306905,,,,,,,0,14,1,0,0,0,0,1,3,1,BBBKB,0.0,0.0,0.0,0.0,0.0,0.0
2,4932039,1,0,1,0,0,1998650,3,7,1,2,,,1984380,2120202,1864124,1984378,1864126,1866014,2120179,1864125,2306905,1998648,1984380,,,,,0,14,1,0,0,0,0,2,3,2,BSSBBB,0.0,0.0,0.0,0.0,0.0,0.0
3,4932039,1,0,1,0,0,1889444,4,5,0,,,,1984380,2120202,1864124,1984378,1864126,1866014,2120179,1864125,2306905,1998650,1984380,1998648,1984380,,,0,3,1,1,0,0,0,3,1,2,KBKS,0.0,0.0,1.0,0.0,0.0,0.0
4,4932039,1,0,2,0,0,2346207,5,3,0,,,,1984380,2120202,1864124,1984378,1864126,1866014,2120179,1864125,2306905,1998650,1984380,1998648,1984380,,,0,2,1,1,0,0,0,4,2,1,KBB,0.0,0.0,1.0,0.0,0.0,0.0
5,4932039,1,1,0,0,0,2120179,1,7,0,,,,2133921,1998641,2346207,1998648,1889444,1889447,1998650,2141233,2346166,,,,,,,1,2,1,1,0,0,0,5,1,0,B,0.0,0.0,1.0,0.0,0.0,0.0
6,4932039,1,1,1,0,0,2306905,2,9,1,,,,2133921,1998641,2346207,1998648,1889444,1889447,1998650,2141233,2346166,,,,,,,0,14,1,0,0,0,0,6,3,2,BBKBSB,0.0,0.0,0.0,0.0,0.0,0.0
7,4932039,1,1,1,0,0,1864124,3,3,1,2,,,2133921,1998641,2346207,1998648,1889444,1889447,1998650,2141233,2346166,2306905,2133921,,,,,0,20,1,0,0,0,0,7,2,1,KBB,0.0,1.0,1.0,0.0,0.0,0.0
8,4932039,1,1,1,0,0,1864126,4,5,,2,3,,2133921,1998641,2346207,1998648,1889444,1889447,1998650,2141233,2346166,1864124,2133921,2306905,2133921,,,0,11,0,0,0,0,0,8,,,,,,,,,
9,4932039,1,1,1,0,1,1864126,4,5,1,,3,4,2133921,1998641,2346207,1998648,1889444,1889447,1998650,2141233,2346166,,,1864124,2133921,2306905,2133921,0,20,1,0,0,0,0,9,1,1,BK,1.0,1.0,1.0,0.0,0.0,0.0
