,GAME_ID,INN_CT,BAT_HOME_ID,OUTS_CT,AWAY_SCORE,HOME_SCORE,BATTER_ID,BAT_LINEUP_ID,BAT_FLD_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,PIT_ID,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,RUN1_RESP_PIT_ID,BASE2_RUN_ID,RUN2_RESP_PIT_ID,BASE3_RUN_ID,RUN3_RESP_PIT_ID,LEADOFF_FL,EVENT_CD,BAT_EVENT_FL,EVENT_OUTS_CT,SB_FL,CS_FL,PK_FL,EVENT_ID,BALLS_CT,STRIKES_CT,PITCH_SEQ,RBI,H_FL,AB_FL,SH_FL,SF_FL,BUNT_FL
0,4925802,1,0,0,0,0,2310114,1,10,0,,,,1996617,1996599,2133792,1886584,2346820,2346839,2346819,2133786,2133783,,,,,,,1,2,1,1,0,0,0,0,1,2,BFS,0.0,0.0,1.0,0.0,0.0,0.0
1,4925802,1,0,1,0,0,2122604,2,7,0,,,,1996617,1996599,2133792,1886584,2346820,2346839,2346819,2133786,2133783,,,,,,,0,3,1,1,0,0,0,1,2,2,BFBSS,0.0,0.0,1.0,0.0,0.0,0.0
2,4925802,1,0,2,0,0,2122576,3,9,0,,,,1996617,1996599,2133792,1886584,2346820,2346839,2346819,2133786,2133783,,,,,,,0,2,1,1,0,0,0,2,0,0,,0.0,0.0,1.0,0.0,0.0,0.0
3,4925802,1,1,0,0,0,2133783,1,9,0,,,,2122599,2122587,2122615,2122565,2310094,2122598,2122604,2310092,2122576,,,,,,,1,3,1,1,0,0,0,3,1,2,BSSS,0.0,0.0,1.0,0.0,0.0,0.0
4,4925802,1,1,1,0,0,2346839,2,6,1,,,,2122599,2122587,2122615,2122565,2310094,2122598,2122604,2310092,2122576,,,,,,,0,14,1,0,0,0,0,4,3,2,SBBBSB,0.0,0.0,0.0,0.0,0.0,0.0
5,4925802,1,1,1,0,0,2133786,3,8,,2,,,2122599,2122587,2122615,2122565,2310094,2122598,2122604,2310092,2122576,2346839,2122599,,,,,0,4,0,0,1,0,0,5,,,,,,,,,
6,4925802,1,1,1,0,0,2133786,3,8,0,,,,2122599,2122587,2122615,2122565,2310094,2122598,2122604,2310092,2122576,,,2346839,2122599,,,0,3,1,1,0,0,0,6,2,2,BSBSS,0.0,0.0,1.0,0.0,0.0,0.0
7,4925802,1,1,2,0,0,1886584,4,4,,,3,,2122599,2122587,2122615,2122565,2310094,2122598,2122604,2310092,2122576,,,2346839,2122599,,,0,9,0,0,0,0,0,7,,,,,,,,,
8,4925802,1,1,2,0,0,1886584,4,4,0,,,,2122599,2122587,2122615,2122565,2310094,2122598,2122604,2310092,2122576,,,,,2346839,2122599,0,2,1,1,0,0,0,8,1,1,BS,0.0,0.0,1.0,0.0,0.0,0.0
9,4925802,2,0,0,0,0,2310094,4,5,0,,,,1996617,1996599,2133792,1886584,2346820,2346839,2346819,2133786,2133783,,,,,,,1,2,1,1,0,0,0,9,2,1,BBF,0.0,0.0,1.0,0.0,0.0,0.0
