,GAME_ID,INN_CT,BAT_HOME_ID,OUTS_CT,AWAY_SCORE,HOME_SCORE,BATTER_ID,BAT_LINEUP_ID,BAT_FLD_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,PIT_ID,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,RUN1_RESP_PIT_ID,BASE2_RUN_ID,RUN2_RESP_PIT_ID,BASE3_RUN_ID,RUN3_RESP_PIT_ID,LEADOFF_FL,EVENT_CD,BAT_EVENT_FL,EVENT_OUTS_CT,SB_FL,CS_FL,PK_FL,EVENT_ID,BALLS_CT,STRIKES_CT,PITCH_SEQ,RBI,H_FL,AB_FL,SH_FL,SF_FL,BUNT_FL
0,4926887,1,0,0,0,0,2118676,1,4,0,,,,1869939,2137252,2137240,1869941,1869940,2308082,1978559,2137264,2308147,,,,,,,1,2,1,1,0,0,0,0,,,,0.0,0.0,1.0,0.0,0.0,0.0
1,4926887,1,0,1,0,0,1872182,2,10,1,,,,1869939,2137252,2137240,1869941,1869940,2308082,1978559,2137264,2308147,,,,,,,0,14,1,0,0,0,0,1,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,4926887,1,0,1,0,0,1770133,3,7,1,2,,,1869939,2137252,2137240,1869941,1869940,2308082,1978559,2137264,2308147,1872182,1869939,,,,,0,14,1,0,0,0,0,2,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,4926887,1,0,1,0,0,1973269,4,8,0,,,,1869939,2137252,2137240,1869941,1869940,2308082,1978559,2137264,2308147,1770133,1869939,1872182,1869939,,,0,3,1,1,0,0,0,3,,,,0.0,0.0,1.0,0.0,0.0,0.0
4,4926887,1,0,2,0,0,1984368,5,3,0,,,,1869939,2137252,2137240,1869941,1869940,2308082,1978559,2137264,2308147,1770133,1869939,1872182,1869939,,,0,2,1,1,0,0,0,4,,,,0.0,0.0,1.0,0.0,0.0,0.0
5,4926887,1,1,0,0,0,1869941,1,4,1,,,,1872179,2118730,1984368,2118676,1984372,1984386,1770133,1973269,2309319,,,,,,,1,20,1,0,0,0,0,5,,,,0.0,1.0,1.0,0.0,0.0,0.0
6,4926887,1,1,0,0,0,2137264,2,8,,2,,,1872179,2118730,1984368,2118676,1984372,1984386,1770133,1973269,2309319,1869941,1872179,,,,,0,4,0,0,1,0,0,6,,,,,,,,,
7,4926887,1,1,0,0,0,2137264,2,8,1,,3,,1872179,2118730,1984368,2118676,1984372,1984386,1770133,1973269,2309319,,,1869941,1872179,,,0,20,1,0,0,0,0,7,,,,0.0,1.0,1.0,0.0,0.0,0.0
8,4926887,1,1,0,0,1,2308082,3,6,1,2,,4,1872179,2118730,1984368,2118676,1984372,1984386,1770133,1973269,2309319,2137264,1872179,,,1869941,1872179,0,20,1,0,0,0,0,8,,,,1.0,1.0,1.0,0.0,0.0,0.0
9,4926887,1,1,0,0,2,1978559,4,7,1,2,4,,1872179,2118730,1984368,2118676,1984372,1984386,1770133,1973269,2309319,2308082,1872179,2137264,1872179,,,0,20,1,0,0,0,0,9,,,,1.0,1.0,1.0,0.0,0.0,0.0
