,GAME_ID,INN_CT,BAT_HOME_ID,OUTS_CT,AWAY_SCORE,HOME_SCORE,BATTER_ID,BAT_LINEUP_ID,BAT_FLD_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,PIT_ID,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,RUN1_RESP_PIT_ID,BASE2_RUN_ID,RUN2_RESP_PIT_ID,BASE3_RUN_ID,RUN3_RESP_PIT_ID,LEADOFF_FL,EVENT_CD,BAT_EVENT_FL,EVENT_OUTS_CT,SB_FL,CS_FL,PK_FL,EVENT_ID,BALLS_CT,STRIKES_CT,PITCH_SEQ,RBI,H_FL,AB_FL,SH_FL,SF_FL,BUNT_FL
0,4926539,1,0,0,0,0,2114849,1,8,2,,,,1997103,2347885,2347888,2118207,2347872,1997097,1883568,2118216,2347887,,,,,,,1,21,1,0,0,0,0,0,3,2,BBKFBF,0.0,1.0,1.0,0.0,0.0,0.0
1,4926539,1,0,0,0,0,1868764,2,7,0,,3,,1997103,2347885,2347888,2118207,2347872,1997097,1883568,2118216,2347887,,,2114849,1997103,,,0,2,1,1,0,0,0,1,1,2,KBSF,0.0,0.0,1.0,0.0,0.0,0.0
2,4926539,1,0,1,1,0,2301094,3,10,1,,,4,1997103,2347885,2347888,2118207,2347872,1997097,1883568,2118216,2347887,,,,,2114849,1997103,0,20,1,0,0,0,0,2,2,1,KBB,1.0,1.0,1.0,0.0,0.0,0.0
3,4926539,1,0,1,1,0,2114846,4,3,0,,,,1997103,2347885,2347888,2118207,2347872,1997097,1883568,2118216,2347887,2301094,1997103,,,,,0,3,1,1,0,0,0,3,1,2,KFBS,0.0,0.0,1.0,0.0,0.0,0.0
4,4926539,1,0,2,1,0,2301096,5,9,0,,,,1997103,2347885,2347888,2118207,2347872,1997097,1883568,2118216,2347887,2301094,1997103,,,,,0,3,1,1,0,0,0,4,0,2,KKFS,0.0,0.0,1.0,0.0,0.0,0.0
5,4926539,1,1,0,1,0,1883568,1,7,1,,,,1979604,2301099,2114846,2301101,2301073,1868755,1868764,2114849,2301096,,,,,,,1,14,1,0,0,0,0,5,3,2,KSBBBB,0.0,0.0,0.0,0.0,0.0,0.0
6,4926539,1,1,0,1,0,2118207,2,4,0,2,,,1979604,2301099,2114846,2301101,2301073,1868755,1868764,2114849,2301096,1883568,1979604,,,,,0,2,1,1,0,0,0,6,2,0,BB,0.0,0.0,1.0,0.0,0.0,0.0
7,4926539,1,1,1,1,0,2118216,3,8,0,,3,,1979604,2301099,2114846,2301101,2301073,1868755,1868764,2114849,2301096,,,1883568,1979604,,,0,2,1,1,0,0,0,7,0,0,,0.0,0.0,1.0,0.0,0.0,0.0
8,4926539,1,1,2,1,0,2347888,4,3,0,,,,1979604,2301099,2114846,2301101,2301073,1868755,1868764,2114849,2301096,,,,,1883568,1979604,0,2,1,1,0,0,0,8,0,0,,0.0,0.0,1.0,0.0,0.0,0.0
9,4926539,2,0,0,1,0,2301073,6,5,0,,,,1997103,2347885,2347888,2118207,2347872,1997097,1883568,2118216,2347887,,,,,,,1,2,1,1,0,0,0,9,3,1,BBKB,0.0,0.0,1.0,0.0,0.0,0.0
10,4926539,2,0,1,1,0,2301099,7,2,0,,,,1997103,2347885,2347888,2118207,2347872,1997097,1883568,2118216,2347887,,,,,,,0,3,1,1,0,0,0,10,2,2,KSBBS,0.0,0.0,1.0,0.0,0.0,0.0
11,4926539,2,0,2,1,0,2301101,8,4,1,,,,1997103,2347885,2347888,2118207,2347872,1997097,1883568,2118216,2347887,,,,,,,0,20,1,0,0,0,0,11,2,2,BBFKF,0.0,1.0,1.0,0.0,0.0,0.0
12,4926539,2,0,2,1,0,1868755,9,6,0,,,,1997103,2347885,2347888,2118207,2347872,1997097,1883568,2118216,2347887,2301101,1997103,,,,,0,2,1,1,0,0,0,12,1,2,KKB,0.0,0.0,1.0,0.0,0.0,0.0
13,4926539,2,1,0,1,0,1997097,5,6,1,,,,1979604,2301099,2114846,2301101,2301073,1868755,1868764,2114849,2301096,,,,,,,1,14,1,0,0,0,0,13,3,1,BBSBB,0.0,0.0,0.0,0.0,0.0,0.0
14,4926539,2,1,0,1,0,2347885,6,2,0,2,,,1979604,2301099,2114846,2301101,2301073,1868755,1868764,2114849,2301096,1997097,1979604,,,,,0,2,1,1,0,0,0,14,2,0,BB,0.0,0.0,1.0,0.0,0.0,0.0
15,4926539,2,1,1,1,0,2118258,7,10,0,,3,,1979604,2301099,2114846,2301101,2301073,1868755,1868764,2114849,2301096,,,1997097,1979604,,,0,2,1,1,0,0,0,15,2,1,FBB,0.0,0.0,1.0,0.0,0.0,0.0
16,4926539,2,1,2,1,1,2347887,8,9,1,,,4,1979604,2301099,2114846,2301101,2301073,1868755,1868764,2114849,2301096,,,,,1997097,1979604,0,20,1,0,0,0,0,16,0,1,F,1.0,1.0,1.0,0.0,0.0,0.0
