id,institution
101,CSUN
506352,Culinary Institute
506032,Culver-Stockton
501207,Cumberland (TN)
506101,Cumberlands (KY)
170,Curry
122,CWRU
30174,Daemen
506066,Dakota St.
506033,Dakota Wesleyan
1044,Dallas
501242,Dallas Christian
506472,Dalton St.
172,Dartmouth
30221,Davenport
173,Davidson
504197,Davis
174,Davis & Elkins
506376,Dayspring Bible
175,Dayton
1045,DBU
30219,Dean
1050,Defiance
180,Delaware
178,Delaware St.
179,Delaware Valley
181,Delta St.
182,Denison
183,Denver
176,DePaul
177,DePauw
20,DeSales
184,Detroit Mercy
185,Dickinson
506123,Dickinson St.
501365,Dillard
506505,Diné
186,Dist. Columbia
30095,Dixie St.
506020,Doane
30118,Dominican (CA)
1332,Dominican (IL)
8956,Dominican (NY)
501390,Dordt
506462,Douglas (CAN)
189,Drake
190,Drew
191,Drexel
1057,Drury
192,Dubuque
193,Duke
194,Duquesne
1059,D'Youville
195,Earlham
196,East Carolina
8965,East Central
197,East Stroudsburg
1062,East Tex. Baptist
203,East. Mennonite
8968,Eastern
200,Eastern Conn. St.
201,Eastern Ill.
202,Eastern Ky.
204,Eastern Mich.
206,Eastern N.M.
1064,Eastern Nazarene
506406,Eastern Ore.
207,Eastern Wash.
506193,East-West U.
506323,Ecclesia
208,Eckerd
1066,Edgewood
209,Edinboro
501555,Edward Waters
210,Elizabeth City St.
211,Elizabethtown
212,Elmhurst
213,Elmira
532,Elms
1068,Elon
506341,Embry-Riddle (AZ)
9680,Embry-Riddle (FL)
214,Emerson
30193,Emmanuel (GA)
215,Emmanuel (MA)
506096,Emmaus
217,Emory
216,Emory & Henry
1071,Emporia St.
8981,Endicott
1072,Erskine
198,ETSU
218,Eureka
506080,Evangel
219,Evansville
506184,Evergreen St.
220,Fairfield
222,Fairleigh Dickinson
1076,Fairmont St.
501657,Faith Bapt. Bible
506541,Fanshawe (CAN)
27892,Farmingdale St.
501659,Faulkner
223,Fayetteville St.
221,FDU-Florham
23157,Felician
224,Ferris St.
225,Ferrum
28755,FGCU
1079,Findlay
30032,Finlandia
501678,Fisher
506381,Fisk
227,Fitchburg St.
231,FIU
506170,Five Towns
229,Fla. Atlantic
501725,Fla. Memorial
506479,Fla. National
233,Fla. Southern
30092,Flagler
235,Florida
228,Florida A&M
506300,Florida Col.
234,Florida St.
230,Florida Tech
11538,Fontbonne
236,Fordham
9011,Fort Hays St.
1083,Fort Lewis
237,Fort Valley St.
238,Framingham St.
1085,Francis Marion
30069,Franciscan
2694,Franklin
239,Franklin & Marshall
241,Franklin Pierce
506454,Fraser Valley (CAN)
242,Fredonia
501810,Freed-Hardeman
30147,Fresno Pacific
96,Fresno St.
501826,Friends
243,Frostburg St.
244,Furman
253,Ga. Southern
