id,institution
30104,Urbana
730,Ursinus
30140,Ursuline
10411,USC Upstate
28594,USciences
702,UT Arlington
695,UT Martin
732,Utah
731,Utah St.
30024,Utah Valley
704,UTEP
733,Utica
536,UTRGV
706,UTSA
30181,UVa-Wise
801,UW-River Falls
745,Va. Wesleyan
734,Valdosta St.
506055,Valley City St.
30166,Valley Forge
735,Valparaiso
506434,Vancouver Island
736,Vanderbilt
504925,Vanguard
737,Vassar
506348,Vaughn
740,VCU
738,Vermont
505487,Vermont Tech
506436,Victoria (CAN)
505489,Villa Maria
739,Villanova
506190,Virgin Islands
746,Virginia
743,Virginia St.
742,Virginia Tech
744,Virginia Union
506391,Virginia-Lynchburg
505533,Viterbo
741,VMI
505535,Voorhees
747,Wabash
748,Wagner
749,Wake Forest
506242,Waldorf
506100,Walla Walla
30141,Walsh
505562,Warner
505560,Warner Pacific
505565,Warren Wilson
30236,Warren Wilson
750,Wartburg
751,Wash. & Jeff.
752,Wash. & Lee
2814,Washburn
756,Washington
506471,Washington Adventist
753,Washington Col.
754,Washington St.
755,WashU
506177,Waterloo (CAN)
505610,Wayland Baptist
757,Wayne St. (MI)
1433,Wayne St. (NE)
1434,Waynesburg
505630,Webb Inst.
505632,Webber Int'l
758,Weber St.
759,Webster
506469,Welch
760,Wellesley
761,Wells
762,Wentworth
506443,W'ernw Ontario (CAN)
763,Wesley
764,Wesleyan (CT)
14718,Wesleyan (GA)
358,West Ala.
765,West Chester
506319,West Coast Baptist
11740,West Florida
766,West Ga.
1438,West Liberty
767,West Tex. A&M
506393,West Va. Tech
9630,West Va. Wesleyan
768,West Virginia
1439,West Virginia St.
506536,Westcliff
769,Western Caro.
2759,Western Colo.
770,Western Conn. St.
771,Western Ill.
772,Western Ky.
774,Western Mich.
1445,Western N.M.
775,Western New Eng.
1446,Western Ore.
1448,Western Wash.
777,Westfield St.
1450,Westminster (MO)
1451,Westminster (PA)
30209,Westminster (UT)
505775,Westmont
778,Wheaton (IL)
779,Wheaton (MA)
12799,Wheeling
780,Whitman
781,Whittier
1454,Whitworth
782,Wichita St.
783,Widener
505825,Wilberforce
500077,Wiley
784,Wilkes
785,Willamette
786,William & Mary
505850,William Carey
506290,William Jessup
30120,William Jewell
17094,William Peace
506401,William Penn
30073,William Smith
506076,William Woods
789,Williams
505872,Williams Baptist
1460,Wilmington (DE)
1461,Wilmington (OH)
12973,Wilson
506389,Windsor (CAN)
1462,Wingate
506425,Winnipeg (CAN)
790,Winona St.
791,Winston-Salem
792,Winthrop
8911,Wis. Lutheran
793,Wis.-Eau Claire
795,Wis.-La Crosse
798,Wis.-Oshkosh
799,Wis.-Parkside
800,Wis.-Platteville
802,Wis.-Stevens Point
803,Wis.-Stout
804,Wis.-Superior
805,Wis.-Whitewater
796,Wisconsin
806,Wittenberg
787,Wm. Paterson
2915,Wofford
807,Wooster
809,Worcester St.
808,WPI
810,Wright St.
506325,Wright St.-Lake
811,Wyoming
812,Xavier
506000,Xavier (LA)
813,Yale
506504,Yellowstone Chris.
814,Yeshiva
506494,York (CAN)
500575,York (NE)
2730,York (NY)
815,York (PA)
30154,Young Harris
817,Youngstown St.
