,,,3,UC Santa Barbara,UCSB,,6,,9,2017-02-16
San Diego,USD,,3,Vanderbilt,VAN,,2,,9,2017-02-16
Cal St. Fullerton,CSF,,1,Stanford,STAN,,0,,9,2017-02-16
Grand Canyon,GCU,,6,Oklahoma St.,OKST,,1,,9,2017-02-17
Arkansas,ARK,,7,Miami (OH),MU,,0,,9,2017-02-17
Davidson,DAV,,5,Georgetown,GTWN,,6,,9,2017-02-17
Miami (FL),MIAM,,3,Rutgers,RUT,,0,,9,2017-02-17
Western Ky.,WKU,,6,Valparaiso,VAL,,5,,9,2017-02-17
Southern Miss.,USM,,9,Northeastern,NEU,,4,,9,2017-02-17
A&M-Corpus Christi,AMCC,,10,Bradley,BRAD,,7,,9,2017-02-17
Houston,UH,,8,Wake Forest,WF,,1,,9,2017-02-17
Wichita St.,WICH,,4,Utah Valley,UVU,,3,,9,2017-02-17
Stetson,STE,,6,Southern Ill.,SIU,,7,,9,2017-02-17
USC Upstate,USCU,,3,Virginia Tech,VTU,,11,,9,2017-02-17
New Orleans,UNO,,5,Southern U.,SOU,,0,,6,2017-02-17
McNeese,MCNS,,18,Stony Brook,SB,,2,,9,2017-02-17
San Diego St.,SDSU,,11,Pacific,PAC,,5,,9,2017-02-17
New Mexico,NMU,,8,Binghamton,BING,,4,,9,2017-02-17
The Citadel,CIT,,5,Kansas,KU,,7,,9,2017-02-17
DBU,DBU,,3,La.-Monroe,ULM,,8,,9,2017-02-17
Alabama,ALA,,4,Presbyterian,PRES,,3,,9,2017-02-17
Elon,ELON,,10,Longwood,LU,,5,,9,2017-02-17
Kennesaw St.,KENN,,17,Western Mich.,WMU,,4,,9,2017-02-17
UT Martin,UTM,,2,,,,10,,9,2017-02-17
UAB,UAB,,3,Creighton,CREI,,2,,9,2017-02-17
Memphis,MEM,,5,Tennessee,TENN,,8,,9,2017-02-17
Georgia St.,GAST,,8,Marshall,MRSH,,3,,9,2017-02-17
UCF,UCF,,17,Siena,SIE,,6,,9,2017-02-17
North Florida,UNF,,9,Radford,RAD,,0,,9,2017-02-17
UTRGV,UTRG,,11,Texas Southern,TSU,,4,,9,2017-02-17
Austin Peay,PEAY,,9,Youngstown St.,YSU,,2,,9,2017-02-17
SFA,SFA,,3,Southeast Mo. St.,SEMO,,2,,9,2017-02-17
Norfolk St.,NORF,,4,Villanova,VU,,1,,9,2017-02-17
UNCW,UNCW,,12,George Mason,GMU,,8,,9,2017-02-17
South Carolina,SC,,7,UNC Greensboro,UNCG,,1,,9,2017-02-17
Charlotte,CHAR,,6,West Virginia,WVU,,3,,9,2017-02-17
Florida St.,FSU,,0,VCU,VCU,,3,,9,2017-02-17
Florida,UF,,5,William & Mary,WM,,4,,9,2017-02-17
Belmont,BEL,,0,Kent St.,KENT,,15,,9,2017-02-17
Arkansas St.,ARST,,6,,,,0,,9,2017-02-17
Georgia Tech,GT,,5,BYU,BYU,,3,,9,2017-02-17
Baylor,BAY,,7,Niagara,NU,,3,,9,2017-02-17
UTSA,UTSA,,4,Quinnipiac,QUIN,,5,,9,2017-02-17
ETSU,ETSU,,18,Central Mich.,CMU,,6,,9,2017-02-17
Texas St.,TXST,,3,Purdue,PUR,,9,,9,2017-02-17
TCU,TCU,,6,Penn St.,PSU,,3,,9,2017-02-17
Ole Miss,MISS,,5,East Carolina,ECU,,4,,9,2017-02-17
San Francisco,SF,,7,Northern Colo.,UNCO,,6,,9,2017-02-17
North Carolina,UNC,,3,Kentucky,UK,,1,,9,2017-02-17
Florida A&M,FAMU,,17,Wofford,WOF,,4,,9,2017-02-17
Hawaii,HAW,,0,NC State,NCST,,4,,9,2017-02-17
Mississippi Val.,MVSU,,4,North Dakota St.,NDSU,,10,,9,2017-02-17
Central Ark.,UCA,,16,Evansville,EVAN,,9,,9,2017-02-17
Alabama A&M,AAMU,,8,Purdue Fort Wayne,PUFW,,6,,9,2017-02-17
Georgia,UGA,,3,Col. of Charleston,COC,,9,,9,2017-02-17
Oklahoma,OU,,6,Long Beach St.,LBST,,2,,9,2017-02-17
Troy,TROY,,2,Xavier,XAV,,6,,9,2017-02-17
Fla. Atlantic,FAU,,16,Monmouth,MON,,5,,9,2017-02-17
Texas A&M,TAMU,,15,Bowling Green,BG,,1,,9,2017-02-17
Lipscomb,LIP,,7,Oakland,OAK,,3,,9,2017-02-17
FGCU,FGCU,,5,Sacred Heart,SHU,,10,,9,2017-02-17
UNLV,UNLV,,20,Omaha,OMA,,3,,9,2017-02-17
Clemson,CLEM,,4,Wright St.,WRST,,6,,9,2017-02-17
Tennessee Tech,TNTC,,7,Toledo,TOL,,5,,9,2017-02-17
Auburn,AUB,,9,George Washington,GWU,,0,,9,2017-02-17
Samford,SAMF,,6,UNC Asheville,UNCA,,2,,9,2017-02-17
Ga. Southern,GASO,,5,Middle Tenn.,MTU,,6,,10,2017-02-17
New Mexico St.,NMST,,3,Bryant,BRY,,6,,9,2017-02-17
Sam Houston St.,SHSU,,1,Nevada,NEV,,0,,9,2017-02-17
San Diego,USD,,2,Vanderbilt,VAN,,8,,9,2017-02-17
FIU,FIU,,5,Jacksonville St.,JVST,,0,,9,2017-02-17
Furman,FURM,,9,Dayton,DAY,,3,,9,2017-02-17
Coastal Caro.,CCU,,8,Richmond,RICH,,5,,9,2017-02-17
South Fla.,USF,,9,Iowa,IOWA,,4,,9,2017-02-17
Texas,UT,,2,Rice,RICE,,3,,9,2017-02-17
Louisiana Tech,LTU,,11,Ark.-Pine Bluff,ARPB,,0,,9,2017-02-17
