Elon,ELON,,7,,,,1,,9,2012-02-17
Clemson,CLEM,,1,UAB,UAB,,2,,9,2012-02-17
Kennesaw St.,KENN,,3,Bradley,BRAD,,4,,9,2012-02-17
Fresno St.,FRES,,3,Butler,BUT,,0,,9,2012-02-17
Florida,UF,,7,Cal St. Fullerton,CSF,,3,,9,2012-02-17
Sacramento St.,SAC,,4,CSUN,CSUN,,6,,9,2012-02-17
Troy,TROY,,7,Central Mich.,CMU,,3,,9,2012-02-17
Central Ark.,UCA,,3,Creighton,CREI,,4,,9,2012-02-17
UNC Greensboro,UNCG,,13,Delaware St.,DEST,,0,,9,2012-02-17
Jackson St.,JKST,,2,Eastern Ill.,EIU,,1,,9,2012-02-17
ETSU,ETSU,,8,Eastern Ky.,EKU,,3,,9,2012-02-17
USC Upstate,USCU,,12,Eastern Mich.,EMU,,1,,9,2012-02-17
Belmont,BEL,,2,Evansville,EVAN,,0,,9,2012-02-17
Jackson St.,JKST,,15,Florida A&M,FAMU,,6,,7,2012-02-17
Alabama,ALA,,2,Fla. Atlantic,FAU,,5,,9,2012-02-17
Rice,RICE,,6,FIU,FIU,,2,,9,2012-02-17
Stetson,STE,,19,George Washington,GWU,,7,,9,2012-02-17
Charleston So.,CHSO,,1,Georgetown,GTWN,,2,,9,2012-02-17
Winthrop,WIN,,0,Georgia Tech,GT,,5,,9,2012-02-17
Florida St.,FSU,,9,Hofstra,HOF,,2,,9,2012-02-17
Austin Peay,PEAY,,9,Illinois St.,ILST,,6,,9,2012-02-17
Texas A&M,TAMU,,10,UIC,UIC,,0,,9,2012-02-17
Southeastern La.,SELA,,7,Indiana St.,INST,,2,,9,2012-02-17
Alabama A&M,AAMU,,8,Purdue Fort Wayne,PUFW,,5,,9,2012-02-17
Longwood,LU,,8,Iona,IONA,,2,,9,2012-02-17
Northwestern St.,NWST,,4,Jacksonville St.,JVST,,2,,9,2012-02-17
Southern California,USC,,8,Jacksonville,JAC,,2,,9,2012-02-17
Coastal Caro.,CCU,,7,James Madison,JMU,,1,,9,2012-02-17
Middle Tenn.,MTU,,3,Kansas,KU,,7,,9,2012-02-17
Wofford,WOF,,4,Kentucky,UK,,10,,9,2012-02-17
UCF,UCF,,13,LIU Brooklyn,LIU ,,7,,9,2012-02-17
Campbell,CAMP,,10,Marist,MAR,,3,,9,2012-02-17
NC State,NCST,,10,Marshall,MRSH,,3,,9,2012-02-17
UCLA,UCLA,,1,Maryland,UMD,,2,,9,2012-02-17
Houston Baptist,HBU,,7,McNeese,MCNS,,8,,9,2012-02-17
Furman,FURM,,10,Miami (OH),MU,,2,,9,2012-02-17
TCU,TCU,,4,Ole Miss,MISS,,7,,9,2012-02-17
Auburn,AUB,,5,Missouri,MIZ,,2,,9,2012-02-17
N.C. Central,NCCU,,3,UNC Asheville,UNCA,,13,,9,2012-02-17
,,,4,UNLV,UNLV,,3,,9,2012-02-17
New Mexico,NMU,,3,Nevada,NEV,,5,,9,2012-02-17
Southern Miss.,USM,,4,Nicholls St.,NIST,,5,,9,2012-02-17
Arizona,ARIZ,,3,North Dakota St.,NDSU,,1,,9,2012-02-17
Tennessee,TENN,,7,Northern Ill.,NIU,,1,,9,2012-02-17
UNCW,UNCW,,6,Ohio,OHIO,,5,,10,2012-02-17
UC Santa Barbara,UCSB,,3,Oregon St.,ORST,,7,,9,2012-02-17
Hawaii,HAW,,4,Oregon,UO,,1,,9,2012-02-17
California,CAL,,9,Pacific,PAC,,1,,9,2012-02-17
Samford,SAMF,,4,Radford,RAD,,2,,9,2012-02-17
William & Mary,WM,,2,Rhode Island,URI,,1,,9,2012-02-17
Miami (FL),MIAM,,6,Rutgers,RUT,,2,,9,2012-02-17
Lipscomb,LIP,,8,Saint Louis,SLU,,4,,9,2012-02-17
Charlotte,CHAR,,4,Saint Peter's,SAIN,,1,,9,2012-02-17
San Jose St.,SJSU,,0,San Francisco,SF,,4,,9,2012-02-17
Tulane,TUL,,5,Siena,SIE,,4,,9,2012-02-17
North Florida,UNF,,7,Southern Ill.,SIU,,4,,9,2012-02-17
Memphis,MEM,,2,SIUE,SIUE,,4,,9,2012-02-17
Saint Mary's (CA),SMC,,2,,,,1,,9,2012-02-17
Texas Tech,TTU,,4,Missouri St.,MOST,,1,,9,2012-02-17
Ga. Southern,GASO,,7,UT Martin,UTM,,5,,9,2012-02-17
Western Ky.,WKU,,2,Toledo,TOL,,5,,9,2012-02-17
The Citadel,CIT,,5,Towson,TOW,,6,,9,2012-02-17
LSU,LSU,,10,Air Force,AFA,,2,,9,2012-02-17
High Point,HPU,,2,Army West Point,ARMY,,0,,9,2012-02-17
N.C. A&T,NCAT,,1,Navy,NAVY,,3,,9,2012-02-17
UC Davis,UCD,,3,Utah,UTAH,,0,,9,2012-02-17
Murray St.,MUR,,2,Valparaiso,VAL,,5,,13,2012-02-17
Stanford,STAN,,8,Vanderbilt,VAN,,3,,9,2012-02-17
Long Beach St.,LBST,,4,VCU,VCU,,5,,9,2012-02-17
South Carolina,SC,,2,VMI,VMI,,1,,9,2012-02-17
Kennesaw St.,KENN,,2,Virginia Tech,VTU,,3,,9,2012-02-17
New Mexico St.,NMST,,5,Wake Forest,WF,,3,,9,2012-02-17
Mississippi St.,MSST,,6,Washington St.,WSU,,2,,9,2012-02-17
San Diego St.,SDSU,,4,Washington,UW,,7,,9,2012-02-17
East Carolina,ECU,,4,Milwaukee,MIL,,0,,9,2012-02-17
South Alabama,SAU,,2,Col. of Charleston,COC,,5,,9,2012-02-17
Georgia,UGA,,6,Presbyterian,PRES,,1,,9,2012-02-17
Little Rock,LR,,13,Ark.-Pine Bluff,ARPB,,0,,9,2012-02-17
Seattle U,SEA,,8,Utah Valley,UVU,,2,,9,2012-02-17
Cal Poly,CP,,6,Oklahoma St.,OKST,,0,,9,2012-02-17
Lamar University,LAM,,2,Arkansas St.,ARST,,1,,9,2012-02-17
Old Dominion,ODU,,5,,,,4,,10,2012-02-17
Arizona St.,ASU,,10,Western Mich.,WMU,,0,,9,2012-02-17
Sam Houston St.,SHSU,,3,San Diego,USD,,5,,9,2012-02-17
Pepperdine,PEPP,,3,Oklahoma,OU,,4,,9,2012-02-17
Davidson,DAV,,4,Niagara,NU,,9,,9,2012-02-17
FGCU,FGCU,,6,Bethune-Cookman,BCU,,8,,9,2012-02-17
Baylor,BAY,,3,Oral Roberts,ORU,,2,,9,2012-02-17
Arkansas,ARK,,11,Villanova,VU,,5,,9,2012-02-17
Louisiana Tech,LTU,,10,UT Arlington,UTA,,17,,9,2012-02-17
Northwestern,NW,,3,West Virginia,WVU,,7,"@Al Lang Field,         ",9,2012-02-17
Air Force,AFA,,5,Alcorn,ALCN,,7,"@Baton Rouge, La.        ",9,2012-02-17
Portland,POR,,11,SFA,SFA,,0,"@Beaumont, Texas        ",9,2012-02-17
Wright St.,WRST,,2,Monmouth,MON,,10,"@Cary, N.C.        ",9,2012-02-17
Saint Joseph's,SJU,,1,Bryant,BRY,,4,"@Cary, NC        ",9,2012-02-17
Youngstown St.,YSU,,3,Canisius,CAN,,14,"@Cary, NC        ",9,2012-02-17
Richmond,RICH,,0,Liberty,LIB,,12,"@Charleston, S.C.        ",9,2012-02-17
Penn St.,PSU,,3,Seton Hall,SET,,6,"@Clearwater, Fla.        ",9,2012-02-17
Minnesota,MIN,,7,Louisville,UL,,3,"@Clearwater, Fla.        ",9,2012-02-17
Virginia,UVA,,3,Boston College,BC,,5,"@Conway, S.C.        ",9,2012-02-17
Michigan,UM,,8,Pittsburgh,PITT,,9,"@Dunedin, Fla.        ",9,2012-02-17
Michigan St.,MSU,,11,St. John's (NY),SJ,,4,"@Dunedin, Fla.        ",9,2012-02-17
George Mason,GMU,,2,Appalachian St.,APST,,1,"@Elon, N.C.        ",9,2012-02-17
Prairie View,PV,,0,Southern U.,SOU,,6,"@Houston, TX        ",9,2012-02-17
UC Irvine,UCI,,5,Alabama St.,ALST,,3,"@Houston, TX        ",9,2012-02-17
Mississippi Val.,MVSU,,2,Eastern Ill.,EIU,,11,"@Jackson, Miss.        ",9,2012-02-17
Mississippi Val.,MVSU,,2,Florida A&M,FAMU,,5,"@Jackson, Miss.        ",9,2012-02-17
Virginia Tech,VTU,,6,Bradley,BRAD,,4,"@Kennesaw, Ga.        ",9,2012-02-17
Tennessee Tech,TNTC,,3,Missouri St.,MOST,,2,"@Lubbock, Texas        ",9,2012-02-17
Nebraska,NEB,,4,Gonzaga,GU,,7,"@Peoria, Ariz.        ",9,2012-02-17
Georgia Tech,GT,,0,Kent St.,KENT,,5,"@Rock Hill, S.C.        ",9,2012-02-17
Dayton,DAY,,3,Ball St.,BSU,,4,"@Spartanburg, SC        ",9,2012-02-17
Iowa,IOWA,,7,Pittsburgh,PITT,,5,"@St. Petersburg, FL        ",9,2012-02-17
Indiana,IU,,0,UConn,CONN,,8,"@St. Petersburg, Fla.        ",9,2012-02-17
Illinois,ILL,,12,Notre Dame,ND,,13,"@St. Petersburg, Fla.        ",9,2012-02-17
Ohio St.,OSU,,3,South Fla.,USF,,5,"@St. Petersburg, Fla.        ",9,2012-02-17
North Carolina,UNC,,10,Xavier,XAV,,2,,9,2012-02-17
Mercer,MER,,22,Morehead St.,MRST,,9,,9,2012-02-17
Georgia St.,GAST,,7,Western Ill.,WIU,,7,,9,2012-02-17
Norfolk St.,NORF,,1,Rider,RID,,0,,14,2012-02-17
Grambling,GSU,,5,Texas Southern,TSU,,6,"@Houston, TX        ",10,2012-02-17
Western Caro.,WCU,,9,Fordham,FORD,,8,,9,2012-02-17
UC Riverside,UCR,,5,BYU,BYU,,0,,9,2012-02-17
DBU,DBU,,7,Southeast Mo. St.,SEMO,,6,,9,2012-02-17
Gardner-Webb,GW,,11,UMES,UMES,,4,,9,2012-02-17
Georgia St.,GAST,,5,Western Ill.,WIU,,0,,7,2012-02-17
Gardner-Webb,GW,,8,UMES,UMES,,4,,9,2012-02-17
North Carolina,UNC,,4,Xavier,XAV,,10,,9,2012-02-17
DBU,DBU,,3,Southeast Mo. St.,SEMO,,2,,9,2012-02-17
Norfolk St.,NORF,,3,Rider,RID,,5,,7,2012-02-17
Mercer,MER,,8,Morehead St.,MRST,,6,,9,2012-02-17
Western Caro.,WCU,,6,Fordham,FORD,,1,,9,2012-02-17
UC Riverside,UCR,,2,BYU,BYU,,6,,9,2012-02-17
LSU,LSU,,19,Alcorn,ALCN,,0,,9,2012-02-18
USC Upstate,USCU,,10,Ball St.,BSU,,1,,9,2012-02-18
FGCU,FGCU,,7,Bethune-Cookman,BCU,,3,,9,2012-02-18
Coastal Caro.,CCU,,3,Boston College,BC,,8,,9,2012-02-18
UC Riverside,UCR,,4,BYU,BYU,,8,,10,2012-02-18
Florida,UF,,5,Cal St. Fullerton,CSF,,2,,9,2012-02-18
Sacramento St.,SAC,,2,CSUN,CSUN,,0,,9,2012-02-18
Pacific,PAC,,3,California,CAL,,6,,9,2012-02-18
Troy,TROY,,12,Central Mich.,CMU,,10,,9,2012-02-18
Central Ark.,UCA,,3,Creighton,CREI,,7,,10,2012-02-18
Wofford,WOF,,6,Dayton,DAY,,5,,11,2012-02-18
Lipscomb,LIP,,3,Evansville,EVAN,,4,,9,2012-02-18
Alabama,ALA,,2,Fla. Atlantic,FAU,,9,,9,2012-02-18
Rice,RICE,,5,FIU,FIU,,4,,12,2012-02-18
Western Caro.,WCU,,12,Fordham,FORD,,9,,9,2012-02-18
Stetson,STE,,7,George Washington,GWU,,2,,9,2012-02-18
Florida St.,FSU,,10,Hofstra,HOF,,8,,9,2012-02-18
Texas A&M,TAMU,,9,UIC,UIC,,2,,9,2012-02-18
Southern California,USC,,11,Jacksonville,JAC,,3,,9,2012-02-18
CSU Bakersfield,CSUB,,5,Kansas St.,KSU,,7,,11,2012-02-18
Belmont,BEL,,0,Kansas,KU,,2,,9,2012-02-18
Winthrop,WIN,,3,Kent St.,KENT,,11,,9,2012-02-18
Davidson,DAV,,4,La Salle,LS,,3,,9,2012-02-18
UCLA,UCLA,,6,Maryland,UMD,,5,,9,2012-02-18
Gardner-Webb,GW,,7,UMES,UMES,,0,,9,2012-02-18
Mercer,MER,,2,Morehead St.,MRST,,1,,9,2012-02-18
,,,1,UNLV,UNLV,,6,,9,2012-02-18
New Mexico,NMU,,3,Nevada,NEV,,2,,9,2012-02-18
Arizona,ARIZ,,2,North Dakota St.,NDSU,,8,,9,2012-02-18
UTSA,UTSA,,11,La.-Monroe,ULM,,6,,9,2012-02-18
Cal Poly,CP,,11,Oklahoma St.,OKST,,3,,9,2012-02-18
Hawaii,HAW,,2,Oregon,UO,,3,,12,2012-02-18
Samford,SAMF,,4,Radford,RAD,,7,,9,2012-02-18
The Citadel,CIT,,10,Richmond,RICH,,7,,9,2012-02-18
Norfolk St.,NORF,,1,Rider,RID,,2,,7,2012-02-18
Miami (FL),MIAM,,4,Rutgers,RUT,,1,,12,2012-02-18
Middle Tenn.,MTU,,3,Saint Louis,SLU,,2,,11,2012-02-18
Sam Houston St.,SHSU,,3,San Diego,USD,,2,,9,2012-02-18
San Jose St.,SJSU,,1,San Francisco,SF,,5,,9,2012-02-18
Texas St.,TXST,,4,Santa Clara,SCU,,5,,13,2012-02-18
Tulane,TUL,,8,Siena,SIE,,1,,5,2012-02-18
DBU,DBU,,3,Southeast Mo. St.,SEMO,,1,,6,2012-02-18
North Florida,UNF,,2,Southern Ill.,SIU,,4,,9,2012-02-18
Memphis,MEM,,11,SIUE,SIUE,,2,,9,2012-02-18
Saint Mary's (CA),SMC,,9,,,,2,,9,2012-02-18
Texas Tech,TTU,,9,Tennessee Tech,TNTC,,5,,9,2012-02-18
Ga. Southern,GASO,,10,UT Martin,UTM,,1,,9,2012-02-18
UC Davis,UCD,,1,Utah,UTAH,,7,,9,2012-02-18
Murray St.,MUR,,2,Valparaiso,VAL,,1,,9,2012-02-18
Stanford,STAN,,9,Vanderbilt,VAN,,5,,9,2012-02-18
Long Beach St.,LBST,,7,VCU,VCU,,6,,9,2012-02-18
Coastal Caro.,CCU,,3,Virginia,UVA,,9,,9,2012-02-18
Georgia St.,GAST,,11,Western Ill.,WIU,,9,,9,2012-02-18
NC State,NCST,,4,Wright St.,WRST,,5,,11,2012-02-18
North Carolina,UNC,,16,Xavier,XAV,,10,,9,2012-02-18
NC State,NCST,,14,Youngstown St.,YSU,,3,,9,2012-02-18
Georgia,UGA,,5,Presbyterian,PRES,,4,,9,2012-02-18
Little Rock,LR,,10,Ark.-Pine Bluff,ARPB,,2,,9,2012-02-18
Winthrop,WIN,,3,Georgia Tech,GT,,5,,9,2012-02-18
Arizona St.,ASU,,13,Western Mich.,WMU,,0,,9,2012-02-18
San Diego St.,SDSU,,9,Washington,UW,,12,,9,2012-02-18
Pepperdine,PEPP,,10,Oklahoma,OU,,0,,9,2012-02-18
Arkansas,ARK,,13,Villanova,VU,,1,,9,2012-02-18
Bryant,BRY,,2,Marshall,MRSH,,16,"@Cary, NC        ",9,2012-02-18
Canisius,CAN,,7,Marshall,MRSH,,5,"@Cary, NC        ",9,2012-02-18
Monmouth,MON,,7,Saint Joseph's,SJU,,1,"@Cary, NC        ",9,2012-02-18
Saint Joseph's,SJU,,10,Canisius,CAN,,2,"@Cary, NC        ",9,2012-02-18
Wright St.,WRST,,0,Bryant,BRY,,2,"@Cary, NC        ",9,2012-02-18
Towson,TOW,,0,Liberty,LIB,,8,"@Charleston, S.C.        ",9,2012-02-18
Iowa,IOWA,,2,Notre Dame,ND,,5,"@Clearwater, FL        ",9,2012-02-18
Pittsburgh,PITT,,11,Northwestern,NW,,12,"@Clearwater, Fla.        ",10,2012-02-18
Seton Hall,SET,,7,Ohio St.,OSU,,14,"@Clearwater, Fla.        ",9,2012-02-18
South Fla.,USF,,2,Michigan St.,MSU,,1,"@Clearwater, Fla.        ",9,2012-02-18
Penn St.,PSU,,1,West Virginia,WVU,,4,"@Clearwater, Fla.        ",9,2012-02-18
Boston College,BC,,8,James Madison,JMU,,5,"@Conway, S.C.        ",9,2012-02-18
La Salle,LS,,3,Bucknell,BUCK,,1,"@Davidson, NC        ",9,2012-02-18
Bucknell,BUCK,,8,Niagara,NU,,4,"@Davidson, NC        ",9,2012-02-18
Alabama St.,ALST,,5,Grambling,GSU,,8,"@Houston, TX        ",12,2012-02-18
Southern U.,SOU,,1,UC Irvine,UCI,,5,"@Houston, TX        ",9,2012-02-18
Bradley,BRAD,,1,Virginia Tech,VTU,,11,"@Kennesaw, Ga.        ",9,2012-02-18
Missouri St.,MOST,,10,Tennessee Tech,TNTC,,8,"@Lubbock, Texas        ",9,2012-02-18
Saint Louis,SLU,,6,Bowling Green,BG,,1,"@Murfreesboro, Tenn.        ",9,2012-02-18
James Madison,JMU,,4,Virginia,UVA,,4,"@Myrtle Beach, S.C.        ",8,2012-02-18
Kansas,KU,,3,Bowling Green,BG,,1,"@Nashville, TN        ",9,2012-02-18
Nebraska,NEB,,8,Gonzaga,GU,,10,"@Peoria, Ariz.        ",9,2012-02-18
Kent St.,KENT,,2,Georgia Tech,GT,,6,"@Rock Hill, S.C.        ",9,2012-02-18
Wichita St.,WICH,,1,Santa Clara,SCU,,7,"@San Marcos, Texas        ",12,2012-02-18
Louisiana,ULL,,1,Wichita St.,WICH,,0,"@San Marcos, Texas        ",9,2012-02-18
Eastern Mich.,EMU,,2,Kentucky,UK,,10,"@Spartanburg, S.C.        ",9,2012-02-18
St. John's (NY),SJ,,6,Minnesota,MIN,,1,"@St. Petersburg, FL        ",9,2012-02-18
Cincinnati,UC,,4,Indiana,IU,,7,"@St. Petersburg, Fla.        ",9,2012-02-18
