Duke,DUKE,,1,Vanderbilt,VAN,,9,,8,2018-02-16
William & Mary,WM,,4,Clemson,CLEM,,5,,10,2018-02-16
UConn,CONN,,3,Kennesaw St.,KENN,,7,,8,2018-02-16
Siena,SIE,,1,Florida,UF,,7,,8,2018-02-16
Western Ill.,WIU,,0,Middle Tenn.,MTU,,2,,9,2018-02-16
Indiana St.,INST,,4,UNLV,UNLV,,5,,10,2018-02-16
La Salle,LS,,3,Presbyterian,PRES,,7,,8,2018-02-16
Penn St.,PSU,,2,Elon,ELON,,1,,9,2018-02-16
Northern Ky.,NKU,,2,ETSU,ETSU,,6,,8,2018-02-16
Notre Dame,ND,,6,LSU,LSU,,7,,8,2018-02-16
Dayton,DAY,,8,USC Upstate,USCU,,10,,8,2018-02-16
SIUE,SIUE,,2,Southeastern La.,SELA,,11,,8,2018-02-16
Oklahoma St.,OKST,,6,Texas St.,TXST,,2,,9,2018-02-16
North Carolina,UNC,,3,South Fla.,USF,,4,,8,2018-02-16
Nevada,NEV,,0,UC Irvine,UCI,,4,,8,2018-02-16
Rutgers,RUT,,1,Miami (FL),MIAM,,7,,8,2018-02-16
Houston Baptist,HBU,,0,Baylor,BAY,,1,,8,2018-02-16
Ga. Southern,GASO,,9,Georgia,UGA,,22,,8,2018-02-16
UT Martin,UTM,,2,Troy,TROY,,14,,8,2018-02-16
Murray St.,MUR,,3,Kansas,KU,,5,,8,2018-02-16
Iona,IONA,,2,Charlotte,CHAR,,9,,8,2018-02-16
Monmouth,MON,,4,DBU,DBU,,7,,9,2018-02-16
A&M-Corpus Christi,AMCC,,9,UT Arlington,UTA,,7,,9,2018-02-16
San Francisco,SF,,11,UTSA,UTSA,,2,,9,2018-02-16
Bowling Green,BG,,3,UAB,UAB,,4,,8,2018-02-16
Delaware,DEL,,3,Charleston So.,CHSO,,6,,8,2018-02-16
Manhattan,MAN,,5,Stetson,STE,,6,,8,2018-02-16
Kentucky,UK,,6,Wofford,WOF,,1,,9,2018-02-16
Mississippi St.,MSST,,0,Southern Miss.,USM,,11,,8,2018-02-16
BYU,BYU,,5,CSUN,CSUN,,3,,9,2018-02-16
Louisiana Tech,LTU,,1,Pepperdine,PEPP,,2,,11,2018-02-16
TCU,TCU,,3,Grand Canyon,GCU,,2,,9,2018-02-16
Saint Mary's (CA),SMC,,1,Long Beach St.,LBST,,4,,8,2018-02-16
West Virginia,WVU,,5,Jacksonville,JAC,,4,,9,2018-02-16
Bradley,BRAD,,1,Georgia St.,GAST,,3,,8,2018-02-16
Lafayette,LC,,0,Davidson,DAV,,4,,8,2018-02-16
Wagner,WAG,,7,N.C. Central,NCCU,,6,,10,2018-02-16
Villanova,VU,,4,Norfolk St.,NORF,,2,,9,2018-02-16
Louisiana,ULL,,0,Texas,UT,,3,,8,2018-02-16
Radford,RAD,,14,North Florida,UNF,,8,,9,2018-02-16
VMI,VMI,,7,South Carolina,SC,,6,,9,2018-02-16
Appalachian St.,APST,,3,UNC Greensboro,UNCG,,10,,8,2018-02-16
Western Caro.,WCU,,3,East Carolina,ECU,,8,,8,2018-02-16
Xavier,XAV,,1,Florida St.,FSU,,11,,8,2018-02-16
UC Davis,UCD,,8,CSU Bakersfield,CSUB,,1,,9,2018-02-16
Wright St.,WRST,,3,Tulane,TUL,,4,,8,2018-02-16
George Washington,GWU,,0,Fla. Atlantic,FAU,,3,,8,2018-02-16
Northern Colo.,UNCO,,4,San Jose St.,SJSU,,7,,8,2018-02-16
Virginia,UVA,,3,UCF,UCF,,6,,8,2018-02-16
Marshall,MRSH,,17,Florida A&M,FAMU,,5,,9,2018-02-16
VCU,VCU,,4,Liberty,LIB,,5,,8,2018-02-16
Eastern Ky.,EKU,,4,UNCW,UNCW,,5,,9,2018-02-16
UNC Asheville,UNCA,,2,Lipscomb,LIP,,3,,8,2018-02-16
Virginia Tech,VTU,,2,Coastal Caro.,CCU,,17,,8,2018-02-16
Portland,POR,,2,UCLA,UCLA,,7,,8,2018-02-16
Bethune-Cookman,BCU,,7,Mercer,MER,,13,,8,2018-02-16
Illinois St.,ILST,,0,Arkansas St.,ARST,,1,,8,2018-02-16
Georgetown,GTWN,,2,Wake Forest,WF,,7,,8,2018-02-16
Youngstown St.,YSU,,8,Belmont,BEL,,4,,9,2018-02-16
Minnesota,MIN,,2,Georgia Tech,GT,,3,,8,2018-02-16
Holy Cross,HC,,3,Houston,UH,,2,,9,2018-02-16
Michigan St.,MSU,,4,Fresno St.,FRES,,5,,9,2018-02-16
Central Mich.,CMU,,6,UTRGV,UTRG,,7,,10,2018-02-16
Longwood,LU,,0,Auburn,AUB,,6,,8,2018-02-16
Stony Brook,SB,,6,Nicholls St.,NIST,,5,,9,2018-02-16
Bucknell,BUCK,,2,Arkansas,ARK,,14,,8,2018-02-16
Marist,MAR,,4,Furman,FURM,,13,,8,2018-02-16
Maryland,UMD,,4,Tennessee,TENN,,0,,9,2018-02-16
Washington,UW,,4,Sacramento St.,SAC,,1,,11,2018-02-16
Southeast Mo. St.,SEMO,,3,Col. of Charleston,COC,,6,,8,2018-02-16
California,CAL,,6,San Diego,USD,,1,,9,2018-02-16
Cal St. Fullerton,CSF,,1,Stanford,STAN,,5,,8,2018-02-16
Quinnipiac,QUIN,,9,Abilene Christian,ACU,,10,,8,2018-02-16
Wichita St.,WICH,,10,McNeese,MCNS,,7,,9,2018-02-16
